CountryName,CODE,us_change,rus_change,chn_change
Albania,ALB,0.269913194,0.01478183,0.018273635
Armenia,ARM,-0.013665635,0.092323784,-0.021028478
Austria,AUS,-0.001207052,-0.020462376,-0.025670082
Azerbaijan,AZE,-0.052831313,0.101433046,0.015862687
Belarus,BLR,0.009040278,0.074885057,-0.009433355
Belgium,BEL,0.079228264,-0.010111775,-0.004334579
Bosnia and Herzegovina,BIH,0.032712283,0.010763752,0.005230188
Bulgaria,BGR,0.23881546,-0.079097882,0.049880234
Croatia,HRV,0.134702497,-0.040575292,-0.031123177
Cyprus,CYP,-0.041149055,0.021167701,-0.06311166
Czech Republic,CZE,0.134092484,0.084554158,0.062796499
Denmark,DNK,-0.062131008,-0.013709667,0.055643366
Estonia,EST,0.189552646,-0.044952395,-0.010442325
Finland,FIN,0.065342027,0.103220998,-0.014582196
France,FRA,-0.054557138,-0.006769834,0.005891049
Georgia,GEO,0.085454387,-0.170478176,-0.010378348
Germany,DEU,0.082715648,-0.068011083,-0.060856431
Greece,GRC,0.115065888,0.087859543,0.094085856
Hungary,HUN,0.133733134,0.019258123,-0.030227701
Iceland,ISL,0.062385505,0.045056646,-0.0085929
Ireland,IRL,0.019182736,-0.03377818,-0.025185052
Italy,ITA,-0.067190093,-0.079772016,-0.008537958
Kazakhstan,KAZ,-0.023263607,-0.04068567,-0.000855936
Kyrgyzstan,KGZ,-0.099619244,-0.127072384,0.013896079
latvia,LVA,0.147386498,-0.037990151,0.002973189
Lithuania,LTU,0.124502497,0.002042234,0.000439793
Luxembourg,LUX,0.108997895,-0.000559297,-0.016491419
Malta,MLT,0.00507346,-0.004360825,-0.071247273
Moldova,MDA,0.02389314,-0.039526969,-0.027797631
Netherlands,NLD,-0.053650604,-0.012784952,0.061778545
Norway,NOR,-0.053335882,-0.017618985,-0.014368146
Poland,POL,-0.03339313,-0.042550982,0.073749026
Portugal,PRT,-0.055187323,-0.026895989,0.048223634
Romania,ROU,0.172279946,-0.071740719,-0.019801348
Slovakia,SVK,0.130647306,0.018012292,-0.000888458
Slovenia,SVN,0.173360202,-0.022762848,0.00188179
Spain,ESP,0.006254371,-0.027087401,-0.014463745
Sweden,SWE,0.001437081,-0.037115103,-0.019363425
Tajikistan,TJK,0.024744671,0.033369783,0.15262517
Turkey,TUR,0.107320873,0.080322336,0.022874855
Turkmenistan,TKM,-0.005561068,0.025354882,0.158907862
United Kingdom,GBR,-0.052926118,-0.126847621,0.010634644
Ukraine,UKR,0.091100711,-0.195594749,0.026623344
Uzbekistan,UZB,0.06150916,-0.018841822,0.062227363
