"","year","CountryName","PctAgreeUS","PctAgreeRUSSIA","PctAgreeChina"
"3481",1991,"Yugoslavia",0.125,0.5774648,0.9
"3482",1992,"Yugoslavia",0,0,0
"3483",2000,"Yugoslavia",0.2647059,0.8529412,0.6764706
"3484",2001,"Yugoslavia",0.3855422,0.7037037,0.5853659
"3485",2002,"Yugoslavia",0.3333333,0.6407767,0.4950495
"3486",2003,"Yugoslavia",0.3333333,0.6666667,0.5384615
"3487",2004,"Yugoslavia",0.3333333,0.6395349,0.5529412
"3488",2005,"Yugoslavia",0.35,0.63,0.5656566
"3489",2006,"Yugoslavia",0.3125,0.5714286,0.5779817
"3490",2007,"Yugoslavia",0.2808989,0.6477273,0.5909091
"3491",2008,"Yugoslavia",0.2473118,0.688172,0.6703297
"3492",2009,"Yugoslavia",0.345679,0.7682927,0.7037037
"3493",2010,"Yugoslavia",0.3928571,0.8117647,0.6941176
"3494",2011,"Yugoslavia",0.4639175,0.7113402,0.6210526
"3495",2012,"Yugoslavia",0.3977273,0.6931818,0.6627907
"3496",2013,"Yugoslavia",0.3333333,0.6190476,0.5714286
"3497",2014,"Yugoslavia",0.3417722,0.6025641,0.5512821
"3498",2015,"Yugoslavia",0.3661972,0.5633803,0.5285714
"3499",2016,"Yugoslavia",0.539823,0.4954128,0.5929204
"3500",2017,"Yugoslavia",0.3245614,0.5614035,0.5982143
"3501",2018,"Yugoslavia",0.2173913,0.673913,0.6333333
