"","year","ARM","AZE","BLR","GEO","KAZ","KGZ","MDA","TJK","TKM","UKR","UZB"
"1",1995,NA,NA,8438.79209594444,NA,10000,NA,NA,NA,NA,9307.7318942668,NA
"2",1996,10000,10000,8085.33707569917,9332.06436554035,9461.89146161073,NA,NA,NA,5375.57875783797,5371.49433753272,10000
"3",1997,10000,7979.56750652982,7745.60739305537,6960.36094894309,9005.49904616399,NA,NA,NA,8130.9722090453,4789.50859705486,10000
"4",1998,NA,8579.34458643925,10000,8660.48432165378,9363.14931437155,NA,NA,NA,10000,4240.44144032439,NA
"5",1999,NA,10000,6724.25344301545,6491.27168582674,2995.66178665647,NA,4693.91059379653,NA,9991.96320075534,2715.57386923835,10000
"6",2000,NA,10000,6033.32966810501,7906.54583278626,4294.38012602659,NA,10000,NA,9212.61036929067,3019.57031890631,6148.0970016665
"7",2001,NA,9968.05066794893,4302.48741471918,8581.46417252869,2501.74288164264,NA,10000,NA,8039.56044623283,3737.07417631157,4432.63034624258
"8",2002,NA,4854.00077447837,6271.70564105678,5410.69418166883,1855.77695208495,NA,10000,NA,8308.2030583403,2060.41010689673,3565.86133746066
"9",2003,NA,4157.94625444207,4921.14056790384,8358.2701596012,1328.74663836407,NA,5937.08530951405,NA,7603.53965401919,2577.88763727659,5694.19995847378
"10",2004,10000,8828.13609762294,5825.22719361855,10000,1598.36039436127,NA,10000,NA,5949.75847978854,2704.88819973024,4097.94582803772
"11",2005,10000,4262.99906322239,6827.24583996436,5055.91382594179,1520.0576254686,NA,NA,NA,6032.05989444983,3180.60845910329,2164.19077941447
"12",2006,10000,2000.28836709028,6410.13570537157,4533.27253220916,1856.6264326803,10000,10000,NA,7586.74918915878,2402.02040548682,2503.45853437715
"13",2007,10000,7245.74223307395,6669.67532281913,6144.39739328956,1981.87713362119,NA,NA,NA,9443.9025802479,1825.45771375356,2534.61192090519
"14",2008,10000,4197.92872531185,7061.44440709961,4299.58827023808,2712.70299274534,NA,10000,NA,8667.58329268763,4960.98383369174,6599.51823181148
"15",2009,7771.87359660571,4750.77255819191,6433.08107775487,5032.99933119367,2192.08762537286,NA,5330.56814830006,10000,6701.45196027915,1662.74902244046,7460.05297308769
"16",2010,5014.9100679182,3054.56856076657,4760.46560661449,4576.57304156541,1550.94419992142,10000,5107.99380993983,10000,9613.69574133299,1328.9657915988,5505.09499543032
"17",2011,5002.21617820491,3983.64866703505,4110.00408140469,6542.1418304593,1864.59562329847,5194.31136906689,10000,10000,7581.45164616468,1678.27921715944,5288.03870740864
"18",2012,6956.59520570604,4549.01121426638,2983.01544196498,10000,1701.40754165412,5099.16104133699,7754.44673944456,10000,9589.61135251052,2790.91294683421,5872.84389080352
"19",2013,6347.33884414361,4114.42891429066,2493.23216577733,NA,1736.93067273266,10000,5001.63557755276,NA,9536.3378809289,2407.08662498168,7032.97867367597
"20",2014,10000,5787.21888248975,2726.89754625062,NA,2043.27977761717,10000,5074.59659246454,NA,9801.54245817356,4861.91418004049,6887.69548654164
"21",2015,10000,4712.49989071765,2789.74279447527,10000,1916.75835789253,9374.25722730635,10000,10000,9181.66316265659,6229.36552583783,4953.97719390277
"22",2016,10000,5933.77012757161,3516.18707658208,10000,1557.70604945844,8794.47816941369,NA,10000,8746.58487631097,7960.91067148372,7224.63516844962
"23",2017,NA,6066.94869932959,5961.88923150803,10000,1794.40740341724,5383.63440193119,NA,NA,9896.24434952052,8993.94026135618,7407.6872265352
