"","year","ALB","BIH","ISL","MKD","MNE","NOR","SRB","CHE","TUR"
"1",1995,NA,NA,"0.53%","5.58%",NA,"0.41%",NA,"0.35%","5.35%"
"2",1996,"0.05%","0.03%","1.26%","4.34%",NA,"0.56%",NA,"0.54%","4.68%"
"3",1997,"0.1%","1.43%","1.76%","2.6%",NA,"0.84%",NA,"0.64%","5.62%"
"4",1998,"0.76%","0.16%","1.25%","2.67%",NA,"0.59%",NA,"0.54%","3.54%"
"5",1999,"0.35%","0.68%","0.31%","1.52%",NA,"0.37%",NA,"0.35%","1.73%"
"6",2000,"0.34%","2.62%","0.43%","0.77%",NA,"0.33%",NA,"0.38%","1.78%"
"7",2001,"0.22%","0.56%","0.34%","1.3%",NA,"0.43%",NA,"0.54%","2.48%"
"8",2002,"0.09%","0.05%","0.4%","1.43%",NA,"0.58%",NA,"0.59%","2.8%"
"9",2003,"1.08%","0.17%","0.53%","1.04%",NA,"0.55%",NA,"0.71%","2.31%"
"10",2004,"0.31%","0.91%","1.03%","1.53%",NA,"0.6%",NA,"0.72%","2.34%"
"11",2005,"0.23%","0.15%","1.11%","1.3%",NA,"0.8%","5.08%","0.86%","2.67%"
"12",2006,"0.56%","0.15%","2.19%","1.15%","0.05%","0.99%","5.39%","1.13%","3.4%"
"13",2007,"0.32%","0.18%","1.56%","0.84%","0.12%","0.78%","5.69%","1.19%","4.03%"
"14",2008,"1.21%","0.33%","1.49%","1.6%","0.25%","0.72%","5.47%","1.33%","4.49%"
"15",2009,"0.1%","0.63%","1.22%","1.53%","0.47%","0.97%","4.39%","1.13%","3.02%"
"16",2010,"0.22%","0.76%","2.34%","1.22%","0.53%","1.1%","5.72%","1.17%","3.95%"
"17",2011,"0.38%","0.87%","3.3%","1.31%","0.62%","1.21%","6.98%","1.18%","4.3%"
"18",2012,"0.45%","0.91%","3.69%","1.17%","1.47%","1.11%","7.74%","1.17%","4.2%"
"19",2013,"0.51%","0.92%","3.29%","1.36%","1.59%","1.17%","7.48%","1.07%","4.32%"
"20",2014,"0.95%","1.14%","4.64%","0.99%","0.89%","0.77%","7.04%","1.05%","3.83%"
"21",2015,"0.61%","1.23%","2.06%","1.02%","0.71%","0.6%","5.37%","0.86%","2.49%"
"22",2016,"0.48%","1.23%","0.7%","1.1%","1.27%","0.4%","5.4%","0.75%","1.27%"
"23",2017,"0.66%","1.63%","1.46%","1.11%","1.1%","0.48%","6.16%","0.8%","1.88%"
